Core-ID,CDISC Rule ID,Error Message,Description,Standard Name,Standard Version,Scope,Executability,Status
,FB2306,A subject has a no record in EX but is not populated ARMNRS while participating in an interventional study,All subjects that have no record in the Exposure domain who are participating in a study that includes an interventional product should have ARMNRS populated.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
,FB2305,A subject has a no record in EX but is assigned to a treatment while participating in an interventional study,All subjects that have no record in the Exposure domain who are participating in a study that includes an interventional product should not be assigned to a treatment.,SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
,FB2304,A subject has a record in EX but is not assigned to a treatment while participating in an interventional study,All subjects in the Exposure domain who are participating in a study that includes an interventional product must be assigned to an ARM.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
CORE-000880,FB4006,Negative value for --PDUR,Value for duration (--PDUR) should not be negative.,SDTMIG,3.4,"{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""BS"",""CP"",""GF"",""IS"",""LB"",""MB"",""MS"",""MI"",""PC"",""PP""]}}",Fully Executable,Published
,FB2303,A subject has a record in EX but is not assigned to a treatment while participating in an interventional study,All subjects in the Exposure domain who are participating in a study that includes an interventional product must be assigned to a treatment.,SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
,FB1502,Text variables in submitted datasets contain  '.' as an entire value.,Value does not contain any alphanumeric characters other than a period character.,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000865,FB4405,'--TPTREF must be populated when --ELTM is populated,'--TPTREF must be populated when --ELTM is populated,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS"",""EVENTS"",""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CDISC.SDTMIG.CG0320,CG0320,'--TESTCD does not exist in custom Findings domain.,Raise an error when variable --TESTCD is missing for custom Findings domains,SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000867,FB1501,Text variables in submitted datasets contain strings which have leading space ' characters,Text variables in submitted datasets should not contain strings which have leading space ' characters,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000866,FB3210,'--DTC is greater than --ENDTC,Date/Time of Specimen Collection (--DTC) must be less or equal to End Date/Time of Specimen Collection (--ENDTC).,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
,FB3102,'--STRESC is numeric but --STRESN is not equal to --STRESC,"'--STRESC is populated with a numeric value, but --STRESN is not equal to --STRESC.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000864,FB3206,The End Date/Time of Observation (--ENDTC) is not present in the dataset when Study Day of End of Observation (--ENDY) is present.,"End Study Date/Time (--ENDTC) variable should be included into dataset, when Study Day of End (--ENDY) variable is present.","SDTMIG, SENDIG, SENDIG-AR, SENDIG-DART, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS"",""FINDINGS ABOUT"",""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000863,FB3101,"'--STRESC is populated with a numeric value, but --STRESN is not populated.","When --STRESC is populated with a numeric value, --STRESN should be populated.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000862,FB3205,The Start Date/Time of Observation (--STDTC) is not present in the dataset when Study Day of Start of Observation (--STDY) is present.,"Start Study Date/Time (--STDTC) variable should be included into dataset, when Study Day of Start (--STDY) variable is present.","SDTMIG, SENDIG, SENDIG-AR, SENDIG-DART, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS"",""FINDINGS ABOUT"",""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000732,FB3103,'--STRESC is not numeric but --STRESN is not empty,"'--STRESC is not populated with a numeric value, but --STRESN is not empty.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CDISC.SENDIG.296,"FB1701, SEND296","The value is not from the associated codelist, which is not extensible",Raise an error when there is a non-CT value and the associated codelist is not extensible,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000853,FB1602,The Collection study day (--DY) is not populated when date/time of collection (--DTC) is populated. ,"When date/time of collection (--DTC) is populated, the Collection study day (--DY) should also populated.","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000844,CG0531,RACE in DM equals 'MULTIPLE' but multiple races are not collected in SUPPDM.,Part A - Raise an error when RACE in DM equals 'MULTIPLE' and SUPPDM dataset is not present.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000852,"CG0330, CG0664, TIG0698, SEND48",Variables are not in the correct order as shown in SDTM for the observation class.,Raise an error when variables are not in the specified order,"SDTMIG, TIG, SENDIG, SENDIG-GENETOX, SENDIG-DART","3.2, 3.3, 3.4, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000366,CG0109,"Subject has no records in EX but ACTARMCD is not equal to SCRNFAIL, NOTASSGN or NOTTRT.","Raise an error when subject has no records in EX but ACTARMCD is not equal to SCRNFAIL, NOTASSGN or NOTTRT.",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000748,FB2504,Subject is assigned to an arm code but has no record in EX,"If a subject is assigned to an arm code, the subject should have a record in EX.",SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE"",""INTERVENTIONS""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Draft
CORE-000581,"CG0368, TIG0532, TRC1736a, TRC1736c",DM dataset is missing.,Raise an error when DM dataset is not present,"SDTMIG, TIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.4, 3.2, 3.3, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
FDA.TRC1734a,TRC1734a,You have not submitted a dataset named ts.xpt.,A dataset named ts.xpt must be present for each study in Module 4 and in Module 5.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000505,"CG0285, TRC1734c",Invalid date for TSVAL for TSPARMCD = SSTDTC (Study Start Date),Raise an error when TSVAL for TSPARMCD=SSTDTC is not a valid date/time,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
,FB1107,No occurrence of TSPARAMCD='CURTRT' is included in TS or TSVAL is null.,At least one occurrence of TSPARAMCD='CURTRT' is included in TS with TSVAL populated.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000730,CG0438,TSVAL does not conform to ISO 8601,"When TSPARMCD is equal to AGEMIN and TSVAL is not null, TSVAL should conform to ISO 8601",SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000731,CG0439,TSVAL is not NULL and does not conform to ISO 8601 time period,"When TSPARMCD = LENGTH and TSVAL ^= NULL, TSVAL needs to conform to ISO 8601 time period",SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000097,"CG0218, TIG0432",EPOCH values don't match between Subject Visits (SV) and Subject Elements (SE) datasets.,Raise an error when variable EPOCH values don't match between Subject Visits (SV) and Subject Elements (SE) datasets.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Partially Executable - Possible Overreporting,Published
CDISC.SDTMIG.CG0288,CG0288,TSVALCD is not a valid code in the version identified in TSVCDVER.,Raise an error when TSVCDREF ='CDISC' and TSVALCD is not a valid code in the version identified in TSVCDVER.,SDTMIG,"3.4, 3.3, 3.2","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
,FB0611,Disposition date time value for DEATH record in DS domain is not the same as DTHDTC value in DM domain,Disposition date time value for DEATH record in DS domain is the same as DTHDTC value in DM domain,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""DS""]}}",Fully Executable,Draft
CORE-000259,"CG0171, FB0613","Date time of collection of subject status in SS domain, where survival status is marked as DEAD, is not on or after the date time of death populated in DM domain.","Date time of collection of subject status in SS domain, where survival status is marked as DEAD, is on or after the date time of death populated in DM domain",SDTMIG,"3.4, 3.3, 3.2","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""SS""]}}",Fully Executable,Published
,FB2301,A subject has a record in DM but not in EX while participating in an interventional study,"All subjects in the Demographics domain who are participating in a study that includes an interventional product must have at least one corresponding record in the Exposure domain, except for subjects who failed screening, were not fully assigned to an Arm, or did not receive study treatment.",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
,FB2302,A subject has a record in DM but not in EX while participating in an interventional study,"All subjects in the Demographics domain who are participating in a study that includes an interventional product must have at least one corresponding record in the Exposure domain, except for subjects who failed screening, were not fully assigned to an Arm, or did not receive study treatment.",SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
CORE-000737,FB1102,"The set of parameters without conditions listed in the TCG, Appendix B, is not included in the list of TSPARAMCD with TSVAL populated.","The set of parameters without conditions listed in the TCG, Appendix B, is not included in the list of TSPARAMCD with TSVAL populated.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000738,FB1106,No occurrence of TSPARMCD=’CRMDUR’ is included in TS or TSVAL is null.,No occurrence of TSPARMCD=’CRMDUR’ is included in TS or TSVAL is null.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Partially Executable,Draft
CORE-000734,FB1104,TSVAL (Standard Name) does not match corresponding name as listed in on the study data standards resources website for technical specification documents.,TSVAL (Standard Name) matches corresponding name as listed on the study data standards resources website for technical specification documents.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000728,FB0904,There is not a one-to-one relationship between TSVAL and TSVALCD,There must be a one-to-one relationship between TSVALCD and TSVAL,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
,FB4301,End timing is provided without any starting information,,SDTMIG,3.4,"{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Exclude"":[""DM""]}}",Fully Executable,Draft
